0) 3d:-1.80478 -4.20141 -8.94485      2d: 924.336 1287.84
290) 3d:4.6588 0.388499 -8.08582      2d: 162.53 775.089
291) 3d:3.26409 0.797306 -8.6544      2d: 351.244 730.872
292) 3d:4.40349 0.382245 -8.20163      2d: 199.591 776.077
293) 3d:4.10156 -1.78519 -8.49447      2d: 249.023 1030.46
294) 3d:3.61356 -4.39218 -9.14017      2d: 327.622 1298.81
295) 3d:3.76627 -4.04821 -8.95742      2d: 304.965 1270.89
296) 3d:3.71829 1.88443 -8.1943      2d: 281.796 594.601
297) 3d:4.31229 -0.397275 -8.3557      2d: 217.96 869.097
298) 3d:0.583049 -3.35088 -15.4925      2d: 638.347 1038.76
299) 3d:4.53679 0.45876 -8.10175      2d: 178.297 766.809
300) 3d:3.97302 2.07292 -8.05146      2d: 244.716 567.77
301) 3d:4.24944 -2.16965 -8.54887      2d: 234.173 1073.52
302) 3d:4.26036 -3.14409 -8.64633      2d: 237.227 1182.92
303) 3d:4.23005 -0.250242 -8.28383      2d: 224.41 852.299
304) 3d:4.02647 1.03714 -8.18631      2d: 244.337 696.831
305) 3d:3.93884 -1.45783 -8.55841      2d: 270.502 990.573
306) 3d:3.97547 0.455799 -8.28524      2d: 254.822 767.74
307) 3d:3.29701 2.07854 -8.35237      2d: 337.835 576.029
308) 3d:4.51191 -0.0657002 -8.26196      2d: 189.61 830.058
309) 3d:3.38783 -0.159529 -8.72039      2d: 339.285 840.787
310) 3d:3.15905 2.29508 -8.36862      2d: 354.636 550.819
311) 3d:4.21833 2.30374 -7.91192      2d: 207.668 534.229
312) 3d:3.19689 2.03889 -8.39102      2d: 350.893 581.791
313) 3d:2.57473 -4.07528 -10.2153      2d: 458.419 1218.44
314) 3d:4.46506 -0.0767531 -8.24138      2d: 194.193 831.41
315) 3d:4.84102 -0.768879 -8.2819      2d: 151.329 914.5
316) 3d:4.2919 0.583679 -8.19508      2d: 212.723 751.697
317) 3d:3.91898 0.882207 -8.18998      2d: 257.5 715.684
318) 3d:4.82454 -2.23377 -8.42944      2d: 161.271 1084.78
319) 3d:-0.102972 -4.19558 -10.2465      2d: 719.095 1228.83
320) 3d:4.20779 2.12149 -7.91405      2d: 209.106 557.327
321) 3d:4.83318 -0.741887 -8.27259      2d: 151.745 911.151
322) 3d:3.22814 1.62099 -8.47844      2d: 349.97 633.041
323) 3d:3.95808 0.196481 -8.33422      2d: 258.99 798.944
324) 3d:2.9141 1.96338 -8.6864      2d: 391.901 598.37
325) 3d:3.14489 0.434206 -8.81062      2d: 369.271 773.274
326) 3d:4.86318 -0.827349 -8.27106      2d: 148.072 921.341
327) 3d:4.44536 -0.0659809 -8.23426      2d: 196.203 830.111
328) 3d:4.56053 -0.932288 -8.32468      2d: 187.024 933.152
329) 3d:4.66295 -2.21933 -8.45777      2d: 181.71 1082.4
330) 3d:2.98969 2.13575 -8.53574      2d: 379.271 574.62
331) 3d:3.82684 -2.79743 -8.81775      2d: 293.194 1136.84
332) 3d:4.00765 1.8034 -8.0368      2d: 239.823 600.441
333) 3d:3.6913 2.02362 -8.12235      2d: 282.177 575.79
334) 3d:3.459 -2.71224 -9.05402      2d: 341.757 1119.46
335) 3d:4.79061 0.0970191 -8.2139      2d: 153.597 810.855
336) 3d:4.35339 1.40974 -8.07462      2d: 199.247 649.451
337) 3d:2.97556 -4.15584 -9.25426      2d: 399.635 1268.1
338) 3d:3.50552 -4.2316 -9.07434      2d: 337.423 1284.96
